Offset_Hz,Frequency_Hz,TwoTapDelaySamples,NormalizedFirAttenuation_dB
-89149.4750977,75910850.524902344,8,-48.6709182425
-89004.5166016,75910995.483398438,8,-48.6850530713
-88859.5581055,75911140.441894531,8,-48.6992109399
-88714.5996094,75911285.400390625,8,-48.7133919237
-88569.6411133,75911430.358886719,8,-48.7275960982
-88424.6826172,75911575.317382812,8,-48.7418235394
-88279.7241211,75911720.275878906,8,-48.7560743236
-88134.765625,75911865.234375,8,-48.7703485275
-87989.8071289,75912010.192871094,8,-48.7846462283
-87844.8486328,75912155.151367188,8,-48.7989675035
-87699.8901367,75912300.109863281,8,-48.8133124308
-87554.9316406,75912445.068359375,8,-48.8276810886
-87409.9731445,75912590.026855469,8,-48.8420735555
-87265.0146484,75912734.985351562,8,-48.8564899105
-87120.0561523,75912879.943847656,8,-48.870930233
-86975.0976562,75913024.90234375,8,-48.885394603
-86830.1391602,75913169.860839844,8,-48.8998831006
-86685.1806641,75913314.819335938,8,-48.9143958064
-86540.222168,75913459.777832031,8,-48.9289328014
-86395.2636719,75913604.736328125,8,-48.9434941672
-86250.3051758,75913749.694824219,8,-48.9580799855
-86105.3466797,75913894.653320312,8,-48.9726903387
-85960.3881836,75914039.611816406,8,-48.9873253093
-85815.4296875,75914184.5703125,8,-49.0019849805
-85670.4711914,75914329.528808594,8,-49.0166694359
-85525.5126953,75914474.487304688,8,-49.0313787593
-85380.5541992,75914619.445800781,8,-49.0461130351
-85235.5957031,75914764.404296875,8,-49.0608723481
-85090.637207,75914909.362792969,8,-49.0756567836
-84945.6787109,75915054.321289062,8,-49.0904664273
-84800.7202148,75915199.279785156,8,-49.1053013651
-84655.7617188,75915344.23828125,8,-49.1201616837
-84510.8032227,75915489.196777344,8,-49.1350474701
-84365.8447266,75915634.155273438,8,-49.1499588118
-84220.8862305,75915779.113769531,8,-49.1648957965
-84075.9277344,75915924.072265625,8,-49.1798585127
-83930.9692383,75916069.030761719,8,-49.1948470492
-83786.0107422,75916213.989257812,8,-49.2098614952
-83641.0522461,75916358.947753906,8,-49.2249019404
-83496.09375,75916503.90625,8,-49.2399684752
-83351.1352539,75916648.864746094,8,-49.25506119
-83206.1767578,75916793.823242188,8,-49.2701801761
-83061.2182617,75916938.781738281,8,-49.2853255251
-82916.2597656,75917083.740234375,8,-49.3004973291
-82771.3012695,75917228.698730469,8,-49.3156956806
-82626.3427734,75917373.657226562,8,-49.3309206728
-82481.3842773,75917518.615722656,8,-49.3461723991
-82336.4257812,75917663.57421875,8,-49.3614509537
-82191.4672852,75917808.532714844,8,-49.3767564311
-82046.5087891,75917953.491210938,8,-49.3920889263
-81901.550293,75918098.449707031,8,-49.4074485349
-81756.5917969,75918243.408203125,8,-49.4228353529
-81611.6333008,75918388.366699219,8,-49.438249477
-81466.6748047,75918533.325195312,8,-49.4536910041
-81321.7163086,75918678.283691406,8,-49.469160032
-81176.7578125,75918823.2421875,8,-49.4846566587
-81031.7993164,75918968.200683594,8,-49.500180983
-80886.8408203,75919113.159179688,8,-49.5157331039
-80741.8823242,75919258.117675781,8,-49.5313131212
-80596.9238281,75919403.076171875,8,-49.5469211352
-80451.965332,75919548.034667969,8,-49.5625572466
-80307.0068359,75919692.993164062,8,-49.5782215569
-80162.0483398,75919837.951660156,8,-49.5939141678
-80017.0898438,75919982.91015625,8,-49.6096351819
-79872.1313477,75920127.868652344,8,-49.6253847021
-79727.1728516,75920272.827148438,8,-49.641162832
-79582.2143555,75920417.785644531,8,-49.6569696758
-79437.2558594,75920562.744140625,8,-49.6728053381
-79292.2973633,75920707.702636719,8,-49.6886699242
-79147.3388672,75920852.661132812,8,-49.7045635399
-79002.3803711,75920997.619628906,8,-49.7204862918
-78857.421875,75921142.578125,8,-49.7364382868
-78712.4633789,75921287.536621094,8,-49.7524196324
-78567.5048828,75921432.495117188,8,-49.7684304371
-78422.5463867,75921577.453613281,8,-49.7844708094
-78277.5878906,75921722.412109375,8,-49.8005408589
-78132.6293945,75921867.370605469,8,-49.8166406955
-77987.6708984,75922012.329101562,8,-49.8327704299
-77842.7124023,75922157.287597656,8,-49.8489301734
-77697.7539062,75922302.24609375,8,-49.8651200378
