AbsOffset_Hz,AbsOffset_kHz,20260515_092941,20260515_133100,20260515_134951,20260515_140509,20260521_162959
13336.1816406,13.3361816406,-49.2550330901,-43.8052251282,-44.9109700327,-45.2048947702,-42.1994099998
13481.1401367,13.4811401367,-49.2843359725,-43.9523292388,-44.3893694002,-44.3445283594,-42.0057701369
13626.0986328,13.6260986328,-48.8390087423,-44.1133661983,-43.9330400247,-46.0709720469,-41.7657674174
13771.0571289,13.7710571289,-48.5740470525,-43.8873892697,-45.5871986314,-45.970937424,-42.5743609372
13916.015625,13.916015625,-48.5280321306,-44.0980899302,-46.380657603,-45.5120424477,-43.1893966567
14060.9741211,14.0609741211,-48.9360380592,-43.5058988095,-46.8319243805,-45.4516362781,-43.2804907779
14205.9326172,14.2059326172,-49.1787966551,-44.367218424,-45.4061628624,-44.9196294517,-43.1709671625
14350.8911133,14.3508911133,-49.3586187399,-45.3406660323,-44.9862270175,-45.597421684,-43.2141281893
14495.8496094,14.4958496094,-49.8996283651,-45.9758203396,-45.2448425797,-45.6041134354,-44.4178771998
14640.8081055,14.6408081055,-50.1722370256,-46.1892333955,-43.9893568429,-45.688359846,-44.4104073656
14785.7666016,14.7857666016,-49.8400587756,-45.4538064975,-45.2988740575,-46.2323498725,-42.8251065985
14930.7250977,14.9307250977,-48.8949936885,-44.6976900185,-46.3663334583,-45.9876756028,-42.2155264175
15075.6835938,15.0756835938,-48.6691003955,-44.2644123065,-45.0306397128,-45.1580128346,-43.2051097813
15220.6420898,15.2206420898,-48.969086851,-44.153243782,-43.0674102281,-44.1174584079,-42.8042165013
15365.6005859,15.3656005859,-49.6024768149,-44.8162702791,-44.5792949101,-46.428681128,-43.3739140039
15510.559082,15.510559082,-49.321866875,-44.7277208334,-45.3405530754,-46.8355421141,-44.419345317
15655.5175781,15.6555175781,-49.1166152821,-43.2116640027,-44.6271234882,-46.3203304989,-43.5426547199
15800.4760742,15.8004760742,-49.1274849349,-43.0713148082,-38.4594347083,-40.5566705436,-41.6049543134
15945.4345703,15.9454345703,-49.2053852186,-43.1775737556,-36.4257578864,-38.949325856,-41.680821171
16090.3930664,16.0903930664,-49.0164161182,-45.4270689782,-43.2738075474,-44.6202085966,-42.9621309754
16235.3515625,16.2353515625,-49.0912269773,-44.9442426987,-43.7591557224,-44.8836379069,-42.7165706897
16380.3100586,16.3803100586,-49.8980150759,-44.559589518,-43.4750530149,-44.4751161881,-43.5067200939
16525.2685547,16.5252685547,-49.6216028871,-44.2887086332,-45.1065256565,-45.0160175218,-43.7563290206
16670.2270508,16.6702270508,-48.8658740549,-43.9351924512,-45.3477557479,-45.7596492,-43.6757317437
16815.1855469,16.8151855469,-48.9428274252,-44.8214596467,-45.8690910435,-46.7127648087,-43.3847628714
16960.144043,16.960144043,-49.0676462306,-44.4045307859,-45.2560198114,-46.7275405771,-42.6603357367
