Frequency_Hz,Frequency_MHz,OffsetFrom76MHz_MHz,TwoTapDelaySamples,NormalizedFirRejection_dB
40417683.536707342,40.417683536707,-35.582316463293,8,-0.0434490264045
40452890.578115627,40.452890578116,-35.547109421884,8,-0.0447258683329
40488097.619523905,40.488097619524,-35.511902380476,8,-0.0460212976625
40523304.660932191,40.523304660932,-35.476695339068,8,-0.0473353199385
40558511.702340469,40.558511702340,-35.441488297660,8,-0.0486679407874
40593718.743748747,40.593718743749,-35.406281256251,8,-0.0500191659169
40628925.785157032,40.628925785157,-35.371074214843,8,-0.0513890011164
40664132.82656531,40.664132826565,-35.335867173435,8,-0.0527774522566
40699339.867973596,40.699339867974,-35.300660132026,8,-0.0541845252902
40734546.909381874,40.734546909382,-35.265453090618,8,-0.0556102262513
40769753.950790159,40.769753950790,-35.230246049210,8,-0.0570545612563
40804960.992198437,40.804960992198,-35.195039007802,8,-0.0585175365032
40840168.033606723,40.840168033607,-35.159831966393,8,-0.0599991582724
40875375.075015001,40.875375075015,-35.124624924985,8,-0.0614994329262
40910582.116423286,40.910582116423,-35.089417883577,8,-0.0630183669095
40945789.157831565,40.945789157832,-35.054210842168,8,-0.0645559667494
40980996.19923985,40.980996199240,-35.019003800760,8,-0.0661122390558
41016203.240648128,41.016203240648,-34.983796759352,8,-0.067687190521
41051410.282056414,41.051410282056,-34.948589717944,8,-0.0692808279201
41086617.323464692,41.086617323465,-34.913382676535,8,-0.0708931581112
41121824.364872977,41.121824364873,-34.878175635127,8,-0.0725241880354
41157031.406281255,41.157031406281,-34.842968593719,8,-0.0741739247168
41192238.447689541,41.192238447690,-34.807761552310,8,-0.0758423752628
41227445.489097819,41.227445489098,-34.772554510902,8,-0.0775295468642
41262652.530506104,41.262652530506,-34.737347469494,8,-0.0792354467953
41297859.571914382,41.297859571914,-34.702140428086,8,-0.0809600824141
41333066.613322668,41.333066613323,-34.666933386677,8,-0.082703461162
41368273.654730946,41.368273654731,-34.631726345269,8,-0.0844655905648
41403480.696139231,41.403480696139,-34.596519303861,8,-0.0862464782319
41438687.737547509,41.438687737548,-34.561312262452,8,-0.088046131857
