pair,averaging_frames,tau_s,allan_variance,allan_deviation,overlapping_terms,variance_unit
"(7,1)-(8,2)",50,0.6891586093388469,43.46642616263217,6.592907261795221,120223,urad^4
"(3,1)-(8,6)",50,0.6891586093388469,396.61910582571466,19.915298286134572,120223,urad^4
"(3,2)-(8,7)",50,0.6891586093388469,397.62286997173044,19.94048319303548,120223,urad^4
"(7,2)-(8,3)",57,0.7856408146462854,41.70925380338314,6.4582701866198775,120209,urad^4
"(1,3)-(6,8)",57,0.7856408146462854,323.8296932828422,17.99526863602881,120209,urad^4
"(2,3)-(7,8)",57,0.7856408146462854,314.21924596761085,17.72623045003113,120209,urad^4
"(6,1)-(8,3)",57,0.7856408146462854,157.53034219341438,12.55110920171657,120209,urad^4
"(2,2)-(8,8)",57,0.7856408146462854,220.91251590953328,14.863126047690415,120209,urad^4
"(1,2)-(7,8)",57,0.7856408146462854,229.68859177879128,15.155480585543676,120209,urad^4
"(7,1)-(8,2)",57,0.7856408146462854,40.01280858603632,6.32556784692381,120209,urad^4
"(3,1)-(8,6)",57,0.7856408146462854,365.9729246349343,19.130418830619845,120209,urad^4
"(3,2)-(8,7)",57,0.7856408146462854,366.6536535694049,19.148202358691663,120209,urad^4
"(7,2)-(8,3)",64,0.882123019953724,38.57345385676252,6.210753082900859,120195,urad^4
"(1,3)-(6,8)",64,0.882123019953724,299.38191244870393,17.30265622523617,120195,urad^4
"(2,3)-(7,8)",64,0.882123019953724,290.5403629490364,17.04524458460589,120195,urad^4
"(6,1)-(8,3)",64,0.882123019953724,145.65758890821178,12.068868584428774,120195,urad^4
"(2,2)-(8,8)",64,0.882123019953724,204.29974813992743,14.293346289092957,120195,urad^4
"(1,2)-(7,8)",64,0.882123019953724,212.35500277060996,14.572405524504523,120195,urad^4
"(7,1)-(8,2)",64,0.882123019953724,36.928617519868965,6.076892093814812,120195,urad^4
"(3,1)-(8,6)",64,0.882123019953724,338.5302788151437,18.399192341381283,120195,urad^4
"(3,2)-(8,7)",64,0.882123019953724,339.05735315815264,18.413510071633617,120195,urad^4
"(7,2)-(8,3)",72,0.9923883974479395,35.41671545458811,5.951194456122914,120179,urad^4
"(1,3)-(6,8)",72,0.9923883974479395,274.9409938870282,16.581344755086306,120179,urad^4
"(2,3)-(7,8)",72,0.9923883974479395,266.8974943469231,16.33699771521448,120179,urad^4
"(6,1)-(8,3)",72,0.9923883974479395,133.77307586932906,11.566031120022506,120179,urad^4
"(2,2)-(8,8)",72,0.9923883974479395,187.73813724109013,13.701756720986186,120179,urad^4
"(1,2)-(7,8)",72,0.9923883974479395,195.0056184529213,13.964441215205186,120179,urad^4
"(7,1)-(8,2)",72,0.9923883974479395,33.83327679069467,5.8166379284509935,120179,urad^4
"(3,1)-(8,6)",72,0.9923883974479395,311.0574647348524,17.636821276376658,120179,urad^4
"(3,2)-(8,7)",72,0.9923883974479395,311.56010872364374,17.651065370782685,120179,urad^4
"(7,2)-(8,3)",81,1.116436947128932,32.34688501031554,5.68743219830492,120161,urad^4
